subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,9/23/2018,9/14/2017,9/18/2017,Ipsos,B+,1277,rv,.022555,0,42.9,31.5,47.32534,35.30813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50221,79205,9/19/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/14/2017,9/18/2017,NBC News/Wall Street Journal,A-,900,a,.9831238,0,48,42,46.8559,40.66911,"","",http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/HUB_NBCPolitics_Front/17363%20NBCWSJ%20September%20Poll%20(9-21-17%20Release).pdf,50231,78934,9/19/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/15/2017,9/19/2017,Ipsos,B+,1299,rv,.0229218,0,41.7,33.5,46.12534,37.30813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50239,79204,9/20/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/17/2017,9/19/2017,YouGov,B,1278,rv,.1370445,0,39,33,43.79832,35.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/pg2ybma1jb/econTabReport.pdf,50226,78927,9/20/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/16/2017,9/20/2017,Ipsos,B+,1367,rv,.0241002,0,41.8,33.7,46.22534,37.50813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50238,79203,9/21/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/17/2017,9/21/2017,Ipsos,B+,1375,rv,.0242198,0,43,33.5,47.42534,37.30813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50237,79202,9/22/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/17/2017,9/20/2017,CNN/SSRS,A-,939,rv,.8525609,0,49,43,46.51153,41.62517,"","",http://i2.cdn.turner.com/cnn/2017/images/09/24/poll.-.parties.and.2018.pdf.pdf,50233,78952,9/21/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/18/2017,9/22/2017,Ipsos,B+,1401,rv,.0246572,0,44.2,32,48.62534,35.80813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50255,79201,9/23/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/19/2017,9/23/2017,Ipsos,B+,1405,rv,.0247073,0,43.6,32.3,48.02534,36.10813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50254,79200,9/24/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/20/2017,9/24/2017,Ipsos,B+,1375,rv,.0241612,0,42.5,33.8,46.92534,37.60813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50253,79199,9/25/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/22/2017,9/24/2017,Morning Consult,B-,1987,rv,.0984232,0,42,38,46.49991,40.0313,"","",http://www.politico.com/f/?id=0000015e-c003-d73c-a1fe-f8176aed0000,50261,78979,9/25/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/21/2017,9/25/2017,Ipsos,B+,1386,rv,.0243361,0,40.7,35.7,45.12534,39.50813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50252,79198,9/26/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/22/2017,9/26/2017,Ipsos,B+,2831,rv,.0496727,0,40.8,34.7,45.22534,38.50813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50268,79197,9/27/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/21/2017,9/26/2017,Quinnipiac University,A-,1412,rv,.5864838,0,47,38,44.8154,37.99812,"","",https://poll.qu.edu/images/polling/us/us09272017_Uphy49k.pdf/,50259,78976,9/27/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/22/2017,9/25/2017,Public Policy Polling,B,865,rv,.5368627,0,48,37,46.9636,36.83066,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_92817.pdf,50264,78983,9/26/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/24/2017,9/26/2017,YouGov,B,1245,rv,.1347639,0,40,34,44.79832,36.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/qok43jc8xn/econTabReport.pdf,50257,78973,9/27/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/23/2017,9/27/2017,Ipsos,B+,2835,rv,.0497111,0,39.8,35.3,44.22534,39.10813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50267,79196,9/28/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/24/2017,9/28/2017,Ipsos,B+,2840,rv,.0497734,0,39.9,35.7,44.32534,39.50813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50266,79195,9/29/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/25/2017,9/29/2017,Ipsos,B+,2927,rv,.0512759,0,40.6,34.8,45.02534,38.60813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50280,79194,9/30/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/26/2017,9/30/2017,Ipsos,B+,2912,rv,.0509973,0,41.3,33.8,45.72534,37.60813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50279,79193,10/1/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/27/2017,10/1/2017,Ipsos,B+,1426,rv,.0249682,0,41.1,34.5,45.52534,38.30813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50278,79192,10/2/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/28/2017,10/2/2017,Ipsos,B+,1413,rv,.0247365,0,41.7,34,46.12534,37.80813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50277,79191,10/3/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/29/2017,10/1/2017,Morning Consult,B-,1992,rv,.1002162,0,41,39,45.49991,41.0313,"","",https://morningconsult.com/wp-content/uploads/2017/04/170923_topline_Politico_v1_AP-2.pdf,50283,79013,10/2/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/29/2017,10/3/2017,Ipsos,B+,1375,rv,.0240673,0,42.3,34.1,46.72534,37.90813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50296,79190,10/4/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/1/2017,10/3/2017,YouGov,B,1293,rv,.1412277,0,39,32,43.79832,34.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/x7ybkikwvr/econTabReport.pdf,50282,79011,10/4/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/30/2017,10/4/2017,Ipsos,B+,1300,rv,.0227523,0,41.9,34.3,46.32534,38.10813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50295,79189,10/5/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/1/2017,10/5/2017,Ipsos,B+,1262,rv,.0220849,0,42.5,33.3,46.92534,37.10813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50294,79188,10/6/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,9/30/2017,10/6/2017,Greenberg Quinlan Rosner,B-,667,lv,.5284598,0,49,44,48.02532,43.02739,"","",http://www.democracycorps.com/attachments/article/1076/Dcor_National_Political%20Findings_10.23.2017_for%20release.pdf,50364,79130,10/7/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/2/2017,10/6/2017,Ipsos,B+,1291,rv,.0225909,0,42.2,32.8,46.62534,36.60813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50327,79187,10/7/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/3/2017,10/7/2017,Ipsos,B+,1250,rv,.0218712,0,40.7,33.3,45.12534,37.10813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50343,79186,10/8/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/4/2017,10/8/2017,Ipsos,B+,1266,rv,.0221499,0,40.5,32.9,44.92534,36.70813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50342,79185,10/9/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/5/2017,10/9/2017,Morning Consult,B-,1996,rv,.1021786,0,43,37,47.49991,39.0313,"","",https://morningconsult.com/wp-content/uploads/2017/10/171004_crosstabs_Politico_v1_AP.pdf,50316,79056,10/10/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/5/2017,10/9/2017,Ipsos,B+,1263,rv,.0220974,0,39.8,33,44.22534,36.80813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50341,79184,10/10/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/6/2017,10/10/2017,Ipsos,B+,1318,rv,.0230605,0,39.4,33.7,43.82534,37.50813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50326,79183,10/11/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/5/2017,10/10/2017,Quinnipiac University,A-,1482,rv,.6085835,0,49,41,46.8154,40.99812,"","",https://poll.qu.edu/images/polling/us/us10112017_Uhj87ke.pdf/,50317,79058,10/11/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/7/2017,10/11/2017,Ipsos,B+,1320,rv,.0230972,0,39.1,33.4,43.52534,37.20813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50325,79182,10/12/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/7/2017,10/10/2017,YouGov,B,1272,rv,.1403077,0,40,33,44.79832,35.67322,"","",https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zev5z2887d/econTabReport.pdf,50315,79053,10/11/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/7/2017,10/12/2017,Greenberg Quinlan Rosner,B-,1000,rv,.7893454,0,47,42,46.02532,41.02739,"","",http://www.democracycorps.com/attachments/article/1079/Dcor_WV_RAE%20Panel_Wave%203_Deck_1.24.18_for%20release.pdf,50842,80334,10/13/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/8/2017,10/12/2017,Ipsos,B+,1342,rv,.0234851,0,40.8,32.6,45.22534,36.40813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50324,79181,10/13/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/9/2017,10/13/2017,Ipsos,B+,1343,rv,.0235061,0,39.9,33.2,44.32534,37.00813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50340,79180,10/14/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/10/2017,10/14/2017,McLaughlin & Associates,C-,1000,lv,.2785623,0,41,44,43.27081,41.39692,"","",http://mclaughlinonline.com/pols/wp-content/uploads/2017/10/National-Omnibus-10-13-17-Presentation-MA-Questions-Only.pdf,50393,79487,10/15/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/10/2017,10/14/2017,Ipsos,B+,1321,rv,.0231255,0,40.5,34.1,44.92534,37.90813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50339,79179,10/15/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/11/2017,10/15/2017,Ipsos,B+,1321,rv,.0231304,0,40.9,33.6,45.32534,37.40813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50338,79178,10/16/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/12/2017,10/15/2017,CNN/SSRS,A-,894,rv,.7859295,0,54,38,51.51153,36.62517,"","","http://i2.cdn.turner.com/cnn/2017/images/10/17/rel10b.-.trump,.guns.pdf",50336,79085,10/16/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/12/2017,10/16/2017,Morning Consult,B-,1991,rv,.1038685,0,42,37,46.49991,39.0313,"","",https://morningconsult.com/wp-content/uploads/2017/10/171006_topline_Politico_v1_AP-1-1.pdf,50346,79103,10/17/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/12/2017,10/16/2017,Ipsos,B+,1379,rv,.0241524,0,41.7,34,46.12534,37.80813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50337,79177,10/17/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/13/2017,10/17/2017,Ipsos,B+,1415,rv,.0247896,0,41.5,34.4,45.92534,38.20813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50359,79176,10/18/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/15/2017,10/16/2017,YouGov,B,1320,rv,.1469299,0,41,33,45.79832,35.67322,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ofv9fh8zdh/econTabReport.pdf,50347,79109,10/17/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/14/2017,10/18/2017,Ipsos,B+,1436,rv,.0251657,0,41.6,33.9,46.02534,37.70813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50358,79175,10/19/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/15/2017,10/19/2017,Ipsos,B+,1439,rv,.0252265,0,42.1,32.7,46.52534,36.50813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50357,79174,10/20/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/16/2017,10/20/2017,Ipsos,B+,1641,rv,.0287787,0,40.3,33,44.72534,36.80813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50373,79173,10/21/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/17/2017,10/21/2017,Ipsos,B+,1741,rv,.0305445,0,39.5,33.3,43.92534,37.10813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50372,79172,10/22/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/18/2017,10/22/2017,Ipsos,B+,1901,rv,.033367,0,39.9,33,44.32534,36.80813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50371,79171,10/23/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/19/2017,10/23/2017,Morning Consult,B-,1988,rv,.1056971,0,42,36,46.49991,38.0313,"","",https://morningconsult.com/wp-content/uploads/2017/10/171011_crosstabs_POLITICO_v1_AP-2.pdf,50375,79149,10/24/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/19/2017,10/23/2017,Ipsos,B+,1867,rv,.0327861,0,40.8,32.3,45.22534,36.10813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50370,79170,10/24/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/20/2017,10/24/2017,Ipsos,B+,1904,rv,.0334544,0,40.4,32.1,44.82534,35.90813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50387,79169,10/25/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/22/2017,10/24/2017,YouGov,B,1310,rv,.1473011,0,40,33,44.79832,35.67322,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/39agyx9fl6/econTabReport.pdf,50376,79148,10/25/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/21/2017,10/25/2017,Ipsos,B+,1690,rv,.0297113,0,41.3,31.8,45.72534,35.60813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50386,79168,10/26/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/22/2017,10/24/2017,Fox News,A,1005,rv,1.529505,0,50,35,49.90765,35.0509,"","",https://andersonrobbins.com/wp-content/uploads/2017/10/102517_complete_topline_trumpjob_healthcare_taxes.pdf,50378,79152,10/25/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/18/2017,10/30/2017,Public Religion Research Institute,"",1699,rv,1.93332,0,44,37,44.95504,37.82344,"","",https://www.prri.org/research/american-values-survey-2017/,50632,79910,10/31/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/22/2017,10/26/2017,Ipsos,B+,1531,rv,.0269334,0,42,31.2,46.42534,35.00813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50385,79167,10/27/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/23/2017,10/26/2017,NBC News/Wall Street Journal,A-,753,rv,.8078744,0,48,41,46.8559,39.66911,"","",https://www.nbcnews.com/politics/donald-trump/trump-s-approval-rating-drops-lowest-level-yet-new-nbc-n815321,50391,79484,10/27/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/23/2017,10/27/2017,Ipsos,B+,1467,rv,.0258242,0,41,32.8,45.42534,36.60813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50401,79504,10/28/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/24/2017,10/28/2017,Ipsos,B+,1467,rv,.025841,0,38.9,34,43.32534,37.80813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50400,79503,10/29/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/25/2017,10/29/2017,Ipsos,B+,1469,rv,.0258946,0,40.3,33.3,44.72534,37.10813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50399,79502,10/30/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/27/2017,10/29/2017,Public Policy Polling,B,572,rv,.3983212,0,50,40,48.9636,39.83066,"","",https://www.publicpolicypolling.com/wp-content/uploads/2017/10/PPP_Release_National_103117.pdf,50396,79491,10/30/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/26/2017,10/30/2017,Ipsos,B+,1487,rv,.0262306,0,41.8,33,46.22534,36.80813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50398,79501,10/31/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/26/2017,10/30/2017,Morning Consult,B-,1990,rv,.1078374,0,43,38,47.49991,40.0313,"","",https://morningconsult.com/wp-content/uploads/2017/10/171016_crosstabs_Politico_v1_AP.pdf,50405,79512,10/31/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/27/2017,10/31/2017,Ipsos,B+,1525,rv,.0269217,0,43.3,33.9,47.72534,37.70813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50415,79541,11/1/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/29/2017,10/31/2017,YouGov,B,1278,rv,.1449255,0,39,36,43.79832,38.67322,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/4eegg8ofj2/econTabReport.pdf,50404,79513,11/1/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/28/2017,11/1/2017,Ipsos,B+,1354,rv,.0239213,0,44.6,33.3,49.02534,37.10813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50414,79539,11/2/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/29/2017,11/1/2017,ABC News/Washington Post,A+,492,lv,.9964091,0,48,46,46.73676,45.93568,"","",http://www.langerresearch.com/wp-content/uploads/1194a32018Midterms.pdf,50419,80329,11/2/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/29/2017,11/2/2017,Ipsos,B+,1614,rv,.0285381,0,47.3,32,51.72534,35.80813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50413,79537,11/3/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/30/2017,11/3/2017,Ipsos,B+,1561,rv,.0276239,0,46,32.9,50.42534,36.70813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50429,79560,11/4/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,10/31/2017,11/4/2017,Ipsos,B+,1508,rv,.0267097,0,45,32.5,49.42534,36.30813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50428,79559,11/5/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/1/2017,11/5/2017,Ipsos,B+,1452,rv,.0257388,0,42.8,32.3,47.22534,36.10813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50427,79558,11/6/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/2/2017,11/5/2017,CNN/SSRS,A-,910,rv,.7963367,0,51,40,48.51153,38.62517,"","",http://cdn.cnn.com/cnn/2017/images/11/07/rel11b_-_2018_and_taxes.pdf,50422,79571,11/6/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/2/2017,11/6/2017,Ipsos,B+,1514,rv,.0268604,0,42.5,33.5,46.92534,37.30813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50426,79557,11/7/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/2/2017,11/6/2017,Morning Consult,B-,1990,rv,.1099547,0,38,39,42.49991,41.0313,"","",https://morningconsult.com/wp-content/uploads/2017/11/171102_crosstabs_POLITICO_v1_AP.pdf,50438,79585,11/7/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/3/2017,11/7/2017,Ipsos,B+,1272,rv,.0225852,0,42.4,33.9,46.82534,37.70813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50436,79582,11/8/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/4/2017,11/8/2017,Ipsos,B+,1297,rv,.0230465,0,42.4,34.7,46.82534,38.50813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50435,79581,11/9/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/5/2017,11/7/2017,YouGov,B,1329,rv,.1518526,0,40,33,44.79832,35.67322,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/k4rl5ynp42/econTabReport.pdf,50432,79569,11/8/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/5/2017,11/9/2017,Ipsos,B+,1317,rv,.0234163,0,42.3,34.5,46.72534,38.30813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50452,79610,11/10/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/6/2017,11/9/2017,Marist College,A,850,rv,1.027089,0,51,36,51.1308,36.53578,"","",http://maristpoll.marist.edu/wp-content/misc/usapolls/us171106_HBO/Marist%20Poll_Nature%20of%20the%20Sample%20and%20Tables_November%202017.pdf#page=3,50455,79620,11/10/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/6/2017,11/10/2017,Ipsos,B+,1313,rv,.0233573,0,44.3,33.4,48.72534,37.20813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50451,79609,11/11/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/7/2017,11/11/2017,Ipsos,B+,1264,rv,.0224964,0,44.6,32.3,49.02534,36.10813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50450,79608,11/12/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/8/2017,11/12/2017,Ipsos,B+,1224,rv,.0217943,0,43.3,33.2,47.72534,37.00813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50449,79607,11/13/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/9/2017,11/11/2017,Morning Consult,B-,1993,rv,.1115098,0,44,36,48.49991,38.0313,"","",https://morningconsult.com/wp-content/uploads/2017/11/171104_crosstabs_POLITICO_v1_DK-1-1-1.pdf,50447,79624,11/12/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/7/2017,11/13/2017,Quinnipiac University,A-,1577,rv,.6338524,0,51,38,48.8154,37.99812,"","",https://poll.qu.edu/images/polling/us/us11142017_uqr553.pdf/,50454,79617,11/14/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/9/2017,11/13/2017,Ipsos,B+,1236,rv,.022015,0,43,33,47.42534,36.80813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50448,79606,11/14/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/9/2017,11/12/2017,Rasmussen Reports/Pulse Opinion Research,C+,1000,lv,.8885917,0,49,41,50.1857,40.18174,"","",http://www.rasmussenreports.com/public_content/politics/general_politics/november_2017/voters_tilt_toward_democrat_control_of_house_senate,50492,79682,11/13/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/9/2017,11/14/2017,McLaughlin & Associates,C-,1000,lv,.2701017,0,46,40,48.27081,37.39692,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50469,79637,11/15/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/10/2017,11/14/2017,Ipsos,B+,1246,rv,.0221975,0,42.4,34.4,46.82534,38.20813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50482,79670,11/15/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/12/2017,11/14/2017,YouGov,B,1277,rv,.1467747,0,42,34,46.79832,36.67322,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/pv5v29parb/econTabReport.pdf,50458,79623,11/15/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/11/2017,11/15/2017,Ipsos,B+,1283,rv,.0228588,0,42.7,34.6,47.12534,38.40813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50481,79669,11/16/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/12/2017,11/16/2017,Ipsos,B+,1338,rv,.0238387,0,42.7,35.3,47.12534,39.10813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50480,79668,11/17/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/13/2017,11/15/2017,Marist College,A,802,rv,.9601832,0,43,40,43.1308,40.53578,"","",http://maristpoll.marist.edu/wp-content/misc/usapolls/us171112_PBS/NPR_PBS%20NewsHour_Marist%20Poll_Nature%20of%20the%20Sample%20and%20Tables_Civility%20and%20Politics_November%202017.pdf,50490,79680,11/16/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/13/2017,11/17/2017,Ipsos,B+,1358,rv,.0241966,0,42.3,34.9,46.72534,38.70813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50498,79701,11/18/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/14/2017,11/18/2017,Ipsos,B+,1277,rv,.0227533,0,41.9,35,46.32534,38.80813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50497,79700,11/19/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/15/2017,11/19/2017,Ipsos,B+,1268,rv,.0225917,0,42.9,33.1,47.32534,36.90813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50496,79699,11/20/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/16/2017,11/20/2017,Ipsos,B+,1246,rv,.0221975,0,42.3,32.9,46.72534,36.70813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50495,79698,11/21/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/16/2017,11/19/2017,Morning Consult,B-,2586,rv,.1463253,0,43,36,47.49991,38.0313,"","",https://morningconsult.com/wp-content/uploads/2017/11/171109_topline_Politico_v1_AP-2.pdf,50499,79694,11/20/2017,13:20:19 23 Sep 2018
All polls,9/23/2018,11/17/2017,11/21/2017,Ipsos,B+,1179,rv,.0210008,0,41.1,33.1,45.52534,36.90813,"",T,http://polling.reuters.com/#poll/TM1212Y17/filters/PD1:1,50513,79724,11/22/2017,13:20:19 23 Sep 2018
