Democrat	Republican	Undecided	Other	Not Voting	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
38.0	38.0	18.0	6.0		rasmussen-17959	Rasmussen	2013-09-09	2013-09-15		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
46.0	43.0	11.0			nbc-wsj-17917	NBC/WSJ	2013-09-05	2013-09-08		Adults	1000	3.1	Live Phone	Nonpartisan	None
39.0	39.0	16.0	6.0		rasmussen-17958	Rasmussen	2013-09-02	2013-09-08		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
39.0	37.0	19.0	5.0		rasmussen-17907	Rasmussen	2013-08-26	2013-09-01		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
38.0	39.0	17.0	6.0		rasmussen-17879	Rasmussen	2013-08-19	2013-08-25		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
38.0	38.0	17.0	7.0		rasmussen-17836	Rasmussen	2013-08-12	2013-08-18		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
39.0	39.0	17.0	5.0		rasmussen-17807	Rasmussen	2013-08-05	2013-08-11		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
38.0	41.0	16.0	5.0		rasmussen-17776	Rasmussen	2013-07-29	2013-08-04		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
40.0	36.0	19.0	3.0	2.0	quinnipiac-17764	Quinnipiac	2013-07-28	2013-07-31		Registered Voters	1468	2.6	Live Phone	Nonpartisan	None
39.0	38.0	16.0	7.0		rasmussen-17750	Rasmussen	2013-07-22	2013-07-28		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
44.0	44.0	12.0			nbc-wsj-17722	NBC/WSJ	2013-07-17	2013-07-21		Registered Voters			Live Phone	Nonpartisan	None
40.0	38.0	17.0	6.0		rasmussen-17714	Rasmussen	2013-07-15	2013-07-21		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
43.0	44.0	11.0	2.0		democracy-corps-d-wvwv-17739	Democracy Corps (D-WVWV)	2013-07-10	2013-07-15		Likely Voters	841	3.18	Live Phone	Pollster	Dem
38.0	39.0	18.0	5.0		rasmussen-17683	Rasmussen	2013-07-08	2013-07-14		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
39.0	34.0	21.0	3.0	2.0	quinnipiac-17657	Quinnipiac	2013-06-28	2013-07-08		Registered Voters	2014	2.2	Live Phone	Nonpartisan	None
39.0	40.0	15.0	6.0		rasmussen-17644	Rasmussen	2013-07-01	2013-07-07		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
38.0	39.0	17.0	6.0		rasmussen-17625	Rasmussen	2013-06-24	2013-06-30		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
40.0	39.0	15.0	7.0		rasmussen-17596	Rasmussen	2013-06-17	2013-06-23		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
39.0	39.0	17.0	6.0		rasmussen-17565	Rasmussen	2013-06-10	2013-06-16		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
47.0	40.0	12.0			ppp-d-17550	PPP (D)	2013-06-11	2013-06-13		Likely Voters	603	4.0	Automated Phone	Pollster	Dem
40.0	38.0	15.0	6.0		rasmussen-17523	Rasmussen	2013-06-03	2013-06-09		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
45.0	42.0	13.0			nbc-wsj-17490	NBC/WSJ	2013-05-30	2013-06-02		Registered Voters			Live Phone	Nonpartisan	None
40.0	40.0	14.0	6.0		rasmussen-17494	Rasmussen	2013-05-27	2013-06-02		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
38.0	38.0	20.0	3.0	1.0	quinnipiac-17470	Quinnipiac	2013-05-22	2013-05-28		Registered Voters	1419	2.6	Live Phone	Nonpartisan	None
41.0	39.0	15.0	6.0		rasmussen-17465	Rasmussen	2013-05-20	2013-05-26		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
48.0	40.0	6.0	2.0	5.0	abc-post-17424	ABC/Post	2013-05-15	2013-05-19		Registered Voters			Live Phone	Nonpartisan	None
39.0	40.0	16.0	5.0		rasmussen-17423	Rasmussen	2013-05-13	2013-05-19		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
40.0	38.0	16.0	6.0		rasmussen-17405	Rasmussen	2013-05-06	2013-05-11		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
40.0	38.0	17.0	6.0		rasmussen-17355	Rasmussen	2013-04-29	2013-05-05		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
41.0	37.0	19.0	3.0	1.0	quinnipiac-17331	Quinnipiac	2013-04-25	2013-04-29		Registered Voters	1471	2.6	Live Phone	Nonpartisan	None
39.0	40.0	15.0	6.0		rasmussen-17326	Rasmussen	2013-04-22	2013-04-28		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
41.0	39.0	15.0	5.0		rasmussen-17295	Rasmussen	2013-04-15	2013-04-21		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
42.0	38.0	15.0	5.0		rasmussen-17265	Rasmussen	2013-04-08	2013-04-14		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
41.0	38.0	16.0	5.0		rasmussen-17248	Rasmussen	2013-04-01	2013-04-07		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
43.0	35.0	18.0	2.0	2.0	quinnipiac-17216	Quinnipiac	2013-03-26	2013-04-01		Registered Voters	1711	2.4	Live Phone	Nonpartisan	None
44.0	37.0	14.0	5.0		rasmussen-17227	Rasmussen	2013-03-25	2013-03-31		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
43.0	38.0	14.0	5.0		rasmussen-17224	Rasmussen	2013-03-18	2013-03-24		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
43.0	38.0	14.0	5.0		rasmussen-17179	Rasmussen	2013-03-11	2013-03-17		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
46.0	42.0	9.0	3.0		democracy-corps-d-17151	Democracy Corps (D)	2013-03-09	2013-03-12		Likely Voters	840	3.18	Live Phone	Pollster	Dem
43.0	40.0	12.0	5.0		rasmussen-17138	Rasmussen	2013-03-04	2013-03-10		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
43.0	40.0	12.0	5.0		rasmussen-17110	Rasmussen	2013-02-25	2013-03-03		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
41.0	42.0	10.0	7.0		harper-r-conservative-intelligence-briefing-17097	Harper (R-Conservative Intelligence Briefing)	2013-02-25	2013-02-26		Likely Voters	2184	2.1	Automated Phone	Sponsor	Rep
43.0	38.0	14.0	5.0		rasmussen-17075	Rasmussen	2013-02-18	2013-02-24		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
43.0	37.0	14.0	6.0		rasmussen-17049	Rasmussen	2013-02-11	2013-02-17		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
42.0	39.0	14.0	5.0		rasmussen-17011	Rasmussen	2013-02-04	2013-02-10		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
45.0	45.0	10.0			ppp-d-16990	PPP (D)	2013-01-31	2013-02-03		Likely Voters	800	3.5	Automated Phone	Pollster	Dem
44.0	38.0	13.0	5.0		rasmussen-16980	Rasmussen	2013-01-28	2013-02-03		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
45.0	37.0		5.0	13.0	rasmussen-16946	Rasmussen	2013-01-21	2013-01-27		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
44.0	39.0	13.0	5.0		rasmussen-16929	Rasmussen	2013-01-14	2013-01-20		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
46.0	42.0	9.0	2.0		democracy-corps-d-16944	Democracy Corps (D)	2013-01-10	2013-01-14		Likely Voters	852		Live Phone	Pollster	Dem
43.0	37.0	14.0	5.0		rasmussen-16888	Rasmussen	2013-01-07	2013-01-13		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
44.0	38.0	13.0	5.0		rasmussen-16887	Rasmussen	2013-01-02	2013-01-06		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
46.0	35.0	13.0	6.0		rasmussen-16852	Rasmussen	2012-12-26	2012-12-30		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
44.0	38.0	14.0	4.0		rasmussen-16851	Rasmussen	2012-12-17	2012-12-22		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
46.0	38.0	12.0	4.0		rasmussen-16850	Rasmussen	2012-12-10	2012-12-16		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
46.0	36.0	12.0	5.0		rasmussen-16849	Rasmussen	2012-12-03	2012-12-09		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
44.0	42.0	13.0			politico-gwu-battleground-16794	Politico/GWU/Battleground	2012-12-02	2012-12-06		Likely Voters	1000	3.1	Live Phone	Nonpartisan	None
47.0	36.0	13.0	5.0		rasmussen-16775	Rasmussen	2012-11-26	2012-12-02		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
45.0	40.0	11.0	4.0		rasmussen-16737	Rasmussen	2012-11-19	2012-11-25		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
45.0	40.0	11.0	4.0		rasmussen-16735	Rasmussen	2012-11-12	2012-11-18		Likely Voters	3500	2.0	Automated Phone	Nonpartisan	None
